Task,Acc (Mean ± Std)
MR,0.8670 ± 0.0012
CR,0.9181 ± 0.0023
SUBJ,0.9550 ± 0.0034
MPQA,0.9009 ± 0.0009
SST2,0.9115 ± 0.0018
TREC,0.9608 ± 0.0016
MRPC,0.7563 ± 0.0031
NLI,0.7032 ± 0.0028
