Task,Acc (Mean ± Std)
MR,0.7745 ± 0.0036
CR,0.8268 ± 0.0092
SUBJ,0.9309 ± 0.0014
MPQA,0.8464 ± 0.0071
SST2,0.8353 ± 0.0071
TREC,0.9200 ± 0.0061
MRPC,0.7477 ± 0.0058
NLI,0.6090 ± 0.0026
