Task,Acc (Mean ± Std)
MR,0.8553 ± 0.0016
CR,0.9150 ± 0.0018
SUBJ,0.9549 ± 0.0010
MPQA,0.8800 ± 0.0010
SST2,0.8858 ± 0.0030
TREC,0.9104 ± 0.0032
MRPC,0.7416 ± 0.0018
NLI,0.6139 ± 0.0014
