Task,Acc (Mean ± Std)
MR,0.8630 ± 0.0034
CR,0.9113 ± 0.0051
SUBJ,0.9511 ± 0.0019
MPQA,0.8985 ± 0.0025
SST2,0.9018 ± 0.0017
TREC,0.9536 ± 0.0069
MRPC,0.7554 ± 0.0019
NLI,0.6824 ± 0.0009
