Task,Acc (Mean ± Std)
MR,0.7165 ± 0.0157
CR,0.7679 ± 0.0124
SUBJ,0.8964 ± 0.0054
MPQA,0.7512 ± 0.0142
SST2,0.7670 ± 0.0132
TREC,0.7524 ± 0.0426
MRPC,0.7161 ± 0.0059
NLI,0.5001 ± 0.0104
