,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22
MR,0.029221000662957804,0.049623973092186406,0.025734494991428172,0.021619725985273976,0.014587166713058512,0.01800795697695438,0.015231730242144933,0.017848834917103793,0.012619545969073814,0.008791387298368996,0.008356849275384022,0.006865594801941802,0.01737983882488906,0.013636538470290609,0.019783278332823236,0.011342705575016095,0.006086182072038569,0.008452482194658504,0.011453458771224037,0.0026818862206653866,0.0093456287022393,0.00568579987762919
CR,0.02569220068444249,0.02915341709065356,0.028975750767409558,0.016344205299934245,0.01485049287080469,0.019529621565109893,0.010974646699276228,0.0067654159447461905,0.004650328216256552,0.0078587894243896,0.004998075767777793,0.0066739913657315,0.004262009103890513,0.015979920509698316,0.015071921001332903,0.005172083010469225,0.003980219794016263,0.008895242123978707,0.013190529100320968,0.004267315121417361,0.007615637985656028,0.012789853050332688
SUBJ,0.030353622075684632,0.06209121409054453,0.058585609630727155,0.022595873137197593,0.018217035902767454,0.02240506154566852,0.020316062070744247,0.01408201015577785,0.010411729564336301,0.013413023555600811,0.009402772566184235,0.02454686834185361,0.0039786179365247434,0.015906776508289432,0.005191736312388671,0.011584086516309402,0.011037435736201884,0.012336991389306697,0.004478274829457608,0.007487427217695506,0.0164158387939417,0.011901241867417645
MPQA,0.03150029236329902,0.02120526405788218,0.024251753378784907,0.021152452474525497,0.01643256832315789,0.022492805269807632,0.02191008628933081,0.012085201335376126,0.007515365097674601,0.008682745681050872,0.012139195163263646,0.008494852897656335,0.011210843396036944,0.010990320439827403,0.010676871208395678,0.03102408564953465,0.016348218877256973,0.01919301805914297,0.009782269341767433,0.004630015424219287,0.0016471255691672963,0.005810540689413757
SST2,0.08198122656576697,0.028960953052377232,0.04267439192224975,0.02976904067720657,0.011977880030726452,0.02086783392466319,0.005731644830865,0.015460022790982804,0.011372035329827383,0.0356155188952615,0.013965643416783264,0.006055674092733639,0.016683710214042382,0.0086463147441208,0.015543149929429323,0.009255152849893814,0.003707351129050681,0.0014112230874940737,0.004576114091798491,0.0027151603237659857,0.002457243127041514,0.005203957352896777
TREC,0.03844175134739651,0.026135771168642623,0.020872903869770566,0.028741152644312883,0.011987780422708377,0.012241479960825781,0.01020606628544306,0.007318287326735418,0.009865229015072126,0.011107429623191903,0.006575993910202838,0.008707211629952845,0.00857667264399194,0.010085833134926576,0.015402580001016788,0.00623058407174379,0.005561041211398684,0.00311639788775805,0.004370121309310547,0.0025879944137612142,0.006062530160116846,0.010424574153064447
MRPC,0.019645774601553933,0.01770707853695815,0.0070366168241146,0.01105412515510892,0.007008847157502592,0.01655302959388948,0.013108425341148889,0.002047570141994557,0.015537605418397204,0.014589818959799453,0.012437804675086159,0.00820342626841385,0.008182554738605585,0.010525276826911697,0.026483266720661945,0.004315164913625833,0.008694522530390006,0.005395817893251577,0.005370639021045949,0.005852055663151752,0.010866407421369725,0.007541688014600272
NLI,0.009106312836651562,0.015980985714955834,0.034722267812121455,0.01383700787824644,0.012277890668618906,0.030718750002609856,0.024543990711175256,0.013339550981983903,0.023893569723756905,0.010838495819897497,0.009676961254458992,0.02368449796623482,0.023634535827774264,0.021076595171285083,0.01735369749969179,0.010217678219161232,0.0066360847558197406,0.004123762105868407,0.005905786766807321,0.005040087699274682,0.002837836575047938,0.008400856959224804
