Task,Acc (Mean ± Std)
MR,0.7365 ± 0.0089
CR,0.7857 ± 0.0053
SUBJ,0.9004 ± 0.0016
MPQA,0.7997 ± 0.0052
SST2,0.7984 ± 0.0094
TREC,0.8464 ± 0.0136
MRPC,0.7267 ± 0.0095
NLI,0.5350 ± 0.0038
