,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
23,bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,80.97,85.4,95.16,87.64,85.78,85.82,72.99,84.82285714285715
24,bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.48,86.9,96.0,88.42,86.58,89.16,75.76,86.47142857142856
25,bert-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.13,86.42,95.94,87.87,87.73,88.57,73.7,86.05142857142859
26,bert-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,81.5,86.19,95.39,87.87,85.89,87.69,75.05,85.6542857142857
27,bert-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.15,86.53,95.93,87.75,87.84,88.76,75.44,86.34285714285716
28,bert-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.26,87.1,95.88,88.57,86.81,87.16,71.47,85.60714285714286
29,bert-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,81.1,86.33,95.59,88.45,85.67,86.65,74.75,85.50571428571428
30,bert-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,79.96,84.26,95.06,87.68,85.78,82.87,72.67,84.03999999999999
31,bert-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.59,86.78,96.04,88.42,88.07,88.55,75.74,86.59857142857143
32,bert-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.03,86.1,95.87,87.74,87.73,87.42,74.24,85.87571428571428
33,bert-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,80.66,85.4,95.35,87.88,86.58,86.17,74.9,85.27714285714285
34,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.14,86.1,95.9,87.74,87.73,87.53,75.34,86.06857142857143
35,bert-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.28,87.08,95.9,88.6,86.7,87.12,71.1,85.54
36,bert-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,81.12,86.29,95.59,88.45,85.78,86.57,74.85,85.52142857142857
37,bert-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,80.07,84.23,95.05,87.67,85.67,82.85,73.11,84.09285714285716
38,bert-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.56,86.78,96.03,88.44,87.84,88.41,75.49,86.50714285714285
39,bert-base,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.09,86.07,95.86,87.78,87.61,87.33,73.82,85.7942857142857
40,bert-base,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,80.77,85.41,95.33,87.88,86.58,85.97,74.68,85.23142857142855
41,bert-base,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.16,86.15,95.88,87.79,87.61,87.55,75.17,86.0442857142857
