Task,Acc (Mean ± Std)
MR,0.8639 ± 0.0020
CR,0.9062 ± 0.0033
SUBJ,0.9534 ± 0.0021
MPQA,0.9017 ± 0.0014
SST2,0.9053 ± 0.0014
TREC,0.9612 ± 0.0020
MRPC,0.7554 ± 0.0010
NLI,0.6808 ± 0.0025
