Task,Acc (Mean ± Std)
MR,0.7654 ± 0.0065
CR,0.8270 ± 0.0086
SUBJ,0.9230 ± 0.0086
MPQA,0.8168 ± 0.0173
SST2,0.8211 ± 0.0048
TREC,0.8964 ± 0.0130
MRPC,0.7336 ± 0.0207
NLI,0.5706 ± 0.0060
