,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22
MR,0.004570650674051733,0.0033945003461407345,0.004165436796026256,0.004135419890465201,0.0030825551201117875,0.003139274652722357,0.0026591629349321327,0.003014482147441118,0.0028360708938755344,0.002994879144698028,0.004064368673196623,0.0018548745073141487,0.0024760259485168547,0.0015464763511339823,0.0006758639682996852,0.005124026257021707,0.005080038969931211,0.004810503167165758,0.004685410818928536,0.004482509271182578,0.004054208441398715,0.003733114053317458
CR,0.0008443398995466182,0.0008764773979913519,0.0008277704922106842,0.0005600545816744326,0.0004075006377286229,0.0005589664003276325,0.0003302717706234347,0.0004052754986197039,0.00041321278085439757,0.0007907721296623261,0.0010045918344648483,0.0005979051303555819,0.0006768608586486457,0.0009538028315702552,0.0011058119522116552,0.0011132506777194473,0.0011188523618071969,0.0009938487884183825,0.0008755120066449798,0.0006317207903330758,0.00048401538712899246,0.00038138181798612705
SUBJ,0.0025476042671145446,0.0027598205778556384,0.003013734112809868,0.0022008015826231442,0.002396454108179183,0.002759579743376675,0.0021253703058739396,0.0014256611821093863,0.0009461760428015183,0.0009669117729971062,0.0006532246730154371,0.0029676589578629246,0.0031318234946588657,0.0027824172628069465,0.00203214590443754,0.003368408371900393,0.003058365479293704,0.002665604422513247,0.002212503424890845,0.0015206406688130553,0.001565445654651079,0.0013414118891887353
MPQA,0.008079116270072328,0.008027181235462035,0.008152011754884971,0.007699384597691306,0.007656542293920428,0.007628311270086774,0.007065560930766102,0.006958391989362519,0.007352931586392869,0.006787102992126785,0.004835079185617377,0.00592598098206682,0.005586118513484838,0.005620477666721929,0.005825034708382312,0.008551959266472923,0.00832406749221329,0.008417219917410854,0.008247012756115512,0.007848792084683058,0.008100144986127773,0.008067092725855195
SST2,0.17611509037255355,0.07222368034760183,0.024947732832406797,0.012825349409014884,0.017679310539734584,0.014709602238965626,0.020354784414193684,0.01836461795685942,0.009480900923953092,0.01153650799784489,0.006460852557026238,0.017298123517966092,0.01695719434950145,0.015912047879751454,0.015418884771844834,0.014589140318921884,0.014633928186583028,0.014521433533353023,0.014441737160669264,0.01444046814080698,0.01440449601316977,0.014446840654215773
TREC,0.00040530075497345304,0.00047541752866688355,0.0005147144136997972,0.0005230844438659337,0.000570187352765117,0.0006393638663213053,0.0007084614359193438,0.0009219521542814923,0.0009221387475640639,0.0010103305069122086,0.001361732306849997,0.000508345517675372,0.00035318646659877656,0.0005551984167117149,0.001319127663852141,0.0024506904886971263,0.00207780057579396,0.001609969955152615,0.0014319398749713947,0.0008622188488010461,0.0005428439946189444,0.0004566448221333722
MRPC,0.0024655869617128292,0.0024761541925140307,0.0023625019462653516,0.002202834757577078,0.0018849958516130296,0.0018798426263287803,0.0014415801149507245,0.0011926823886972042,0.00082773396317631,0.0008037863209732125,0.001461444806407539,0.0008972764883769321,0.0012079157996863986,0.0006085078126521004,0.000636180414327432,0.0021548155646196237,0.001868396072298974,0.0022845718281381835,0.0027255452972599725,0.002930688888047609,0.0028203212389880192,0.00253984180627363
NLI,0.13912433575801084,0.023693794015768977,0.0111796112676665,0.014717713098480512,0.016711276098617472,0.013878262803830447,0.01756257355125481,0.017335358475262203,0.017318407526898658,0.011110179449181808,0.0053987221705850364,0.010396155786290603,0.009025119972974687,0.0037412670443576473,0.012734970636216978,0.006125375146891738,0.005199962086645834,0.00546412472240609,0.0064956497172783635,0.005698102906098625,0.005818610264721029,0.0057886206733402
