Task,Acc (Mean ± Std)
MR,0.7726 ± 0.0053
CR,0.8191 ± 0.0057
SUBJ,0.9283 ± 0.0034
MPQA,0.8533 ± 0.0029
SST2,0.8323 ± 0.0020
TREC,0.9216 ± 0.0085
MRPC,0.7521 ± 0.0035
NLI,0.5950 ± 0.0018
