Task,Acc (Mean ± Std)
MR,0.8671 ± 0.0011
CR,0.9250 ± 0.0025
SUBJ,0.9516 ± 0.0007
MPQA,0.8965 ± 0.0013
SST2,0.9158 ± 0.0024
TREC,0.9620 ± 0.0018
MRPC,0.7579 ± 0.0015
NLI,0.7047 ± 0.0043
