Task,Acc (Mean ± Std)
MR,0.8534 ± 0.0031
CR,0.9115 ± 0.0042
SUBJ,0.9497 ± 0.0007
MPQA,0.8808 ± 0.0005
SST2,0.8833 ± 0.0037
TREC,0.9032 ± 0.0060
MRPC,0.7360 ± 0.0021
NLI,0.6109 ± 0.0022
